label,comment
buy,long  
buy,long hul  
buy,long  
buy,long firstsource  
buy,long  
buy,long hpcl  
buy,long target  
buy,wait correction long  
buy,long  
buy,long  
buy,long infrastructure  
buy,long  
buy,long  
buy,long around  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long around  
buy,long technology stocks  
buy,long  
buy,long  
buy,dont !long  
buy,long  
buy,long around  
buy,long hindusthan current levels  
buy,long  
buy,long  
buy,long  
buy,long around  
buy,long  
buy,long stoploss  
buy,long  
buy,long  
buy,long infrastructure  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long target  
buy,long  
buy,long dips  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long fertilisers  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long around  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long around  
buy,long closes  
buy,long target  
buy,long  
buy,long  
buy,long hul  
buy,long current level  
buy,long  
buy,long  
buy,long  
buy,long stoploss  
buy,long experts  
buy,long  
buy,long  
buy,long  
buy,negative reason long  
buy,long tomorrow  
buy,momentum downside strong long  
buy,opportunity long short-term  
buy,long short  
buy,long  
buy,long  
buy,long around  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long hoec  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,dont !question wisdom long  
buy,long  
buy,waiting opportunity long  
buy,long  
buy,long  
buy,long  
buy,long hul  
buy,long (dvr)  
buy,long around  
buy,long (dvr)  
buy,long  
buy,long  
buy,long  
buy,long current prices  
buy,long intraday dips points  
buy,long  
buy,long  
buy,long angst stay  
buy,long  
buy,long  
buy,long  
buy,long short  
buy,long dips  
buy,long  
buy,long  
buy,bearish banks long  
buy,long stay away  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long hpcl  
buy,long target  
buy,long buy dips  
buy,long target  
buy,long  
buy,long target  
buy,long loss  
buy,long  
buy,support long  
buy,long nationwide  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long declines  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long target  
buy,long target  
buy,long  
buy,long  
buy,long around  
buy,long hul  
buy,long august series avoid counter  
buy,long  
buy,mildly bullish bias long individual stocks  
buy,long  
buy,long  
buy,long balarampur  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long stoploss  
buy,bullish long  
buy,long continues strengthen  
buy,long  
buy,long around  
buy,long  
buy,long  
buy,long target  
buy,long  
buy,long  
buy,long hul  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,short long directs  
buy,long around  
buy,long  
buy,long holds hour  
buy,heading towards long  
buy,long dips trades  
buy,near-term long  
buy,long jaiprakash around  
buy,long stoploss  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long futures  
buy,long  
buy,mild bullish bias long  
buy,upswing long  
buy,long  
buy,long suggests stocks  
buy,long  
buy,long declines  
buy,long  
buy,holds upside surprise fiis long  
buy,strong trending long  
buy,trend upwards long options  
buy,long inches higher  
buy,long reddys dips  
buy,choppy long declines  
buy,break upside long  
buy,long  
buy,long  
buy,stuck narrow long  
buy,long infrastructure dips  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long around  
buy,long  
buy,retest long  
buy,long  
buy,long  
buy,long  
buy,long avoid  
buy,long  
buy,long  
buy,verge breakout long  
buy,long  
buy,soon long  
buy,short banks long  
buy,long  
buy,uptrend long  
buy,lacklusture long equirus  
buy,long  
buy,long  
buy,long reddys  
buy,long (dvr)  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long short  
buy,long  
buy,long midcaps crosses  
buy,dont !long  
buy,long loss around  
buy,long re-enters  
buy,long target  
buy,long target  
buy,long  
buy,long murlidhar  
buy,long loss  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long dips  
buy,long retest  
buy,long  
buy,long target  
buy,long dips  
buy,long defensive stocks  
buy,long  
buy,long  
buy,long target  
buy,long  
buy,long short  
buy,long  
buy,long  
buy,short-term uptrend long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long hul target  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long target  
buy,long around  
buy,long  
buy,long hul  
buy,long laboratories  
buy,long  
buy,long  
buy,long  
buy,long avoid  
buy,long target  
buy,long  
buy,long  
buy,long hul dips  
buy,long around  
buy,long  
buy,long  
buy,long keep loss  
buy,long short  
buy,long  
buy,traders long keep loss  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long hpcl  
buy,long hpcl  
buy,long  
buy,long  
buy,long  
buy,long short  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long jaiprakash  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long entertainment target  
buy,long  
buy,long  
buy,long short  
buy,buy long  
buy,long vehicles  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long resistance  
buy,long short  
buy,long  
buy,long  
buy,long target  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long looks tempting  
buy,long laboratories  
buy,long entertainment  
buy,option long soon  
buy,long  
buy,long  
buy,long  
buy,long rally  
buy,long  
buy,consolidate long  
buy,long target  
buy,long  
buy,long  
buy,long hpcl  
buy,long  
buy,long dips  
buy,long  
buy,short-term traders long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long advanced target  
buy,long target  
buy,long reddys  
buy,long  
buy,long  
buy,long reddys  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long fertilisers  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,pick private stocks long  
buy,long rallies  
buy,long  
buy,long upto vayalar  
buy,long banks stocks  
buy,long buy bounce  
buy,long  
buy,long phosphorous  
buy,long stocks consolidation  
buy,long  
buy,long breaks  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long  
buy,long expect gains  
buy,long july futures  
buy,long  
buy,long  
buy,long  
buy,short long  
buy,long  
buy,long rally lasts  
buy,long  
buy,long vayalar  
buy,long  
buy,long jaiprakash  
buy,long target  
buy,long  
buy,long sustains levels  
buy,long reddys laboratories  
buy,long sciences  
buy,long  
buy,long  
buy,long  
buy,dont !long  
buy,long  
