label,comment
buy,go long suzlon energy 
buy,go long itc hul 
buy,go long dlf 
buy,go long firstsource solutions 
buy,go long gmr infra 
buy,go long hpcl 
buy,go long dlf target 
buy,wait correction go long ril 
buy,go long idbi 
buy,go long dish tv 
buy,go long gmr infrastructure 
buy,go long bharti airtel 
buy,go long tata steel 
buy,go long ivrcl infra around 
buy,go long tata steel dip 
buy,go long exide industries 
buy,go long suzlon energy 
buy,go long bhel 
buy,go long aban offshore around 
buy,go long frontline technology stocks 
buy,go long sbi 
buy,go long welspun sl 
buy,dont go long banking space 
buy,go long videocon industries 
buy,go long bharti airtel around 
buy,go long hindusthan current levels 
buy,go long larsen toubro 
buy,go long hcc 
buy,not go long hcl tech 
buy,go long piramal health around 
buy,go long suzlon energy 
buy,go long ntpc stoploss 
buy,go long subex 
buy,go long havells 
buy,go long infrastructure 
buy,go long mahindra satyam 
buy,go long indian overseas bank 
buy,go long steel 
buy,go long uflex 
buy,go long hexaware target 
buy,go long indiabulls 
buy,go long shree renuka dips 
buy,go long m&m 
buy,go long infosys 
buy,go long jet airways 
buy,go long icici bank 
buy,go long chambal fertilisers 
buy,go long godrej ind 
buy,go long lovable lingerie 
buy,go long delta corp range 
buy,go long irrigation 
buy,go long cements 
buy,go long irrigation 
buy,go long wipro 
buy,go long tata steel 
buy,go long tata motors 
buy,go long l&t 
buy,go long tata steel 
buy,go long sbi around 
buy,go long hindalco industries 
buy,go long m&m 
buy,go long patni 
buy,go long bhel 
buy,go long itc around 
buy,go long nifty closes 
buy,go long acc target 
buy,go long l&t 
buy,go long icici bank 
buy,go long hul 
buy,go long petronet lng current level 
buy,go long amtek 
buy,go long hdil 
buy,go long jet airways 
buy,go long indian hotels stoploss 
buy,go long polaris sbi ambuja cement say experts 
buy,go long hdil 
buy,go long m&m 
buy,go long jet airways 
buy,q see negative growth no reason go long 
buy,go long nifty today & tomorrow 
buy,mkt momentum downside strong go long wipro 
buy,no opportunity go long short-term 
buy,go long sail short steel 
buy,go long state bank 
buy,go long infosys sbi 
buy,go long hdil around 
buy,go long infosys 
buy,go long shriram transport fin jp associates 
buy,go long ncc 
