comment_id,comment
2,period correction 
3,expect limited upside markets today 
5,two hidden gems market 
7,mkt wont revisit mondays lows 
9,revealing two hidden gems market 
10,present may run business 
11,two hidden gems market revealed 
13,nifty break level today 
14,tech mahindra great 
15,adopt wait & watch approach gmr infra 
18,f&o expiry looming markets 
19,earnings monetary policy f&o expiry direct mkts 
21,impact blasts would minimal mkts 
22,results tuesday set mood mkt 
23,market continues absolutely directionless 
24,markets not stabilised yet 
25,market sentiment back midcap action 
27,momentum push markets 
28,midcaps seem flavour season 
29,midcap rally not continue 
30,markets made big break 
32,feds move direct markets 
33,mkts range & next mnths 
34,fed meet decide fate markets 
36,midcaps 
37,low volumes suggest pause mode markets 
39,expect fireworks tech mahindra listing 
40,market still uptrend 
41,markets need soften up bit 
42,markets need fresh ammunition move up 
43,technical correction may come 
45,upward bias led overseas mkts 
46,stability returning mkts 
47,sensex may take step closer week 
49,sensex crossing week doubtful 
50,weak cues dampen market sentiment 
52,not enough steam markets sensex hit today 
54,trace euphoria building up mkts 
55,expect auto stocks grow soon 
56,cac report p-notes could trouble markets 
57,mkts could rediscover energy momentum 
59,markets reach lofty plus levels 
60,no sign dip market sentiment 
61,markets cautious ahead earnings season 
62,midcaps attracting attention 
63,markets significantly poised new highs 
64,tops list investors new york 
65,focus cement banks goods 
66,volatility expected markets try hit new highs 
67,mkts remain volatile results 
68,markets may see points rally 
69,markets moving northward direction 
70,merger uwb fairly good idbi 
72,markets consolidate 
73,results season begun style markets go 
74,expects markets cross earlier highs diwali 
75,markets still rangebound despite stellar infy nos 
76,infosys awes market fy guidance 
77,infy results decide markets next move 
78,market valuations not cheap 
80,good cues bail markets today 
81,time bank bank stocks say experts 
82,cues may give markets leg-up today 
83,more investor interest brewing 
84,market take shot all-time high week 
85,markets break week 
86,bull run continue 
88,good asian cues & ril may give markets leg-up today 
90,reliances nos say 
91,earnings decide fate markets 
92,wipro results lift market sentiment 
95,markets set welcome big earnings week 
96,sensex new high 
98,uptrend persists 
99,bet infrastructure buzzers 
101,sweet november markets 
102,earnings season ends uptrend continue 
103,dream comeback lies ahead 
104,mixed bag expectations markets today 
105,markets upward bound expect corrections 
106,lot excitement store markets today 
107,markets consolidation mode 
109,mkts still not done uptrend 
110,mkts rally back corporate news good cues 
111,stocks shaping 
112,mkts set clean run near term 
113,time get cautious market 
114,appetite good ipos remain 
116,market searching direction interesting days ahead 
117,indian market valuation high 
118,value picks fmcg media space 
120,midcaps smallcaps excite street 
122,markets another day consolidation 
123,outlook 
124,indian cos aim raising funds 
125,rates china may nudge up 
126,market continue rally 
127,happy days markets back 
131,expect mkt correction next week 
132,mkts stable back good cues 
133,traders gung-ho markets nudge upto 
134,market momentum still bulls 
135,sentiment head next months 
136,nifty break way up 
137,realty men others boys 
138,midcaps smallcaps rallying 
139,mkts heave sigh relief due stable cues 
140,cant go wrong sectors 
141,weak cues peg indian markets back 
143,dark horses smallcap space 
145,risk appetite high asia 
146,markets continue rally 
148,weeks closing decide fate markets 
149,more technical pain left system 
150,sensex nosedives 
151,brace yet another rocky ride 
152,markets tumble 
153,markets react unexpected newsflow 
154,good trading opportunites among f&o stocks 
155,lack momentum movement current levels 
156,caution excitement greed 
157,could end year 
158,rangebound trade continue markets 
159,hindustan construction stoploss 
162,moser target 
163,inherent mkt weakness distribution taking place 
164,mkts unpredictable 
165,markets still remain volatile 
167,mkts going violent consolidation phase 
168,soft cues peg markets back 
169,infy results impact mkt play 
170,auto w cement impress 
172,newsflows direct rangebound mkts 
173,waiting mkts make decisive move 
177,large caps mid-caps 
179,trade 
181,markets remain rangebound 
182,brace heavy newsflow week 
185,no signs mkt weakness despite yesterdays volatility 
186,not commit more funds 
187,mkts headed yet another day consolidation 
188,mkts headed more consolidation 
189,mkts rediscover momentum take beyond current levels 
191,market volatility stay 
192,yesterdays spillover may continue 
193,markets move new highs 
194,markets react fed statement 
195,like see indian mkts cool little 
196,volatility markets continue 
197,credit policy decide markets next move 
198,kei inds set make fresh up moves 
199,monnet ispat good growth trajectory 
200,rolta results expectations 
202,add stocks shopping list 
203,no major jitters make markets nervous 
205,markets react newsflow 
