comment_id,label,comment
3971,buy,go long suzlon energy 
3988,buy,go long itc hul 
4224,buy,go long dlf 
4560,buy,go long firstsource solutions 
4709,buy,go long gmr infra 
4752,buy,go long hpcl 
4787,buy,go long dlf target 
5367,buy,wait correction go long ril 
5628,buy,go long idbi 
5732,buy,go long dish tv 
5752,buy,go long gmr infrastructure 
5922,buy,go long bharti airtel 
6030,buy,go long tata steel 
7053,buy,go long ivrcl infra around 
7214,buy,go long tata steel dip 
7235,buy,go long exide industries 
7498,buy,go long suzlon energy 
7524,buy,go long bhel 
7696,buy,go long aban offshore around 
7706,buy,go long frontline technology stocks 
7861,buy,go long sbi 
8111,buy,go long welspun sl 
8229,buy,dont go long banking space 
8717,buy,go long videocon industries 
8732,buy,go long bharti airtel around 
9112,buy,go long hindusthan current levels 
9163,buy,go long larsen toubro 
9407,buy,go long hcc 
9538,buy,not go long hcl tech 
9773,buy,go long piramal health around 
9987,buy,go long suzlon energy 
9989,buy,go long ntpc stoploss 
10297,buy,go long subex 
10463,buy,go long havells 
10485,buy,go long infrastructure 
10504,buy,go long mahindra satyam 
10526,buy,go long indian overseas bank 
10527,buy,go long steel 
10551,buy,go long uflex 
10790,buy,go long hexaware target 
10791,buy,go long indiabulls 
10811,buy,go long shree renuka dips 
10812,buy,go long m&m 
10827,buy,go long infosys 
11355,buy,go long jet airways 
11357,buy,go long icici bank 
11407,buy,go long chambal fertilisers 
11443,buy,go long godrej ind 
11470,buy,go long lovable lingerie 
11471,buy,go long delta corp range 
11560,buy,go long irrigation 
11650,buy,go long cements 
11850,buy,go long irrigation 
11856,buy,go long wipro 
11873,buy,go long tata steel 
11906,buy,go long tata motors 
11928,buy,go long l&t 
11970,buy,go long tata steel 
12241,buy,go long sbi around 
12319,buy,go long hindalco industries 
12337,buy,go long m&m 
12360,buy,go long patni 
12397,buy,go long bhel 
12398,buy,go long itc around 
12436,buy,go long nifty closes 
12570,buy,go long acc target 
12587,buy,go long l&t 
12588,buy,go long icici bank 
12592,buy,go long hul 
12616,buy,go long petronet lng current level 
12627,buy,go long amtek 
12926,buy,go long hdil 
12953,buy,go long jet airways 
13051,buy,go long indian hotels stoploss 
13085,buy,go long polaris sbi ambuja cement say experts 
13202,buy,go long hdil 
13203,buy,go long m&m 
13326,buy,go long jet airways 
13620,buy,q see negative growth no reason go long 
13879,buy,go long nifty today & tomorrow 
13993,buy,mkt momentum downside strong go long wipro 
14148,buy,no opportunity go long short-term 
14211,buy,go long sail short steel 
14219,buy,go long state bank 
14352,buy,go long infosys sbi 
14355,buy,go long hdil around 
14660,buy,go long infosys 
14666,buy,go long shriram transport fin jp associates 
14775,buy,go long ncc 
14792,buy,go long aban offshore 
14826,buy,go long hoec 
14933,buy,go long wipro 
14960,buy,go long united spirits jsw steel wockhardt 
14967,buy,go long mphasis 
15206,buy,go long cairn 
15295,buy,go long power grid 
15317,buy,dont question wisdom mkt best go long 
15461,buy,go long pnb 
15466,buy,waiting opportunity go long 
15476,buy,go long irb infra 
15656,buy,go long bhel 
15957,buy,go long lanco infratech 
15962,buy,go long colgate itc hul 
15985,buy,go long tata motors tata motors (dvr) dip 
16023,buy,go long infra around 
16068,buy,go long tata motors (dvr) 
16110,buy,go long britannia industries 
16114,buy,go long pfc 
16315,buy,go long irrigation 
16360,buy,go long yes bank current prices 
