comment_id	expert_name	date	comment
1	SP Tulsian 	2007-06-05 16:15:00	Nitin Fire Protection a good investment
2	Ajay Srivastava  	2007-05-17 09:56:00	Ajay Srivastava not keen on Bhagwati Banquets
3	Ajay Srivastava  	2007-03-09 17:49:00	Idea Cellular fairly valued at Rs 87-90
4	Amisha Vora  	2007-02-07 16:00:00	Real estate stocks will take time to give good returns
5	S Ramesh 	2006-11-30 16:07:00	In realty, some are men, others boys: Kotak Mahindra
6	Sanjay Dutt  	2006-08-04 13:21:00	GMR Infra suitable only for long term investors: Dutt
7	Vibhav Kapoor  	2006-08-02 11:09:00	Tech Mahindra a great investment: Kapoor
8	Vibhav Kapoor  	2006-08-02 11:00:00	Adopt wait & watch approach for GMR Infra: Kapoor
9	Ajay Srivastava  	2006-07-31 11:10:00	Will not subscribe to GMR Infra IPO: Srivastava
10	Prithvi Haldea 	2005-12-01 17:53:00	Factors to look out for in the ICICI Bank issue
11	Dilip Bhat  	2005-06-15 11:56:00	Provogue appears a bit too stretched: Bhat
12	Prithvi Haldea  	2005-06-14 13:05:00	Fixed price issue v/s book built issue
13	SP Tulsian  	2007-08-07 18:11:00	Avoid Puravankara, looks expensive: Tulsian
14	SP Tulsian  	2007-08-07 13:53:00	Valuation of Take Solns looks stretched: Tulsian
15	SP Tulsian  	2007-08-07 13:31:00	KPR Mill to continue to feel Rupee pain
16	Ajay Srivastava  	2007-07-10 15:35:00	No impact of IPO probe news on Suzlon Energy: Srivastava
17	SP Tulsian  	2007-07-09 16:19:00	Simplex Projects an average issue: Tulsian
18	Ajay Srivastava  	2007-07-05 10:02:00	Unitech offers better investment opportunity than DLF
19	SP Tulsian  	2007-07-04 11:55:00	DLF may list between Rs 560-Rs 565: SP Tulsian
20	Dilip Bhat  	2007-07-03 14:40:00	DLF will have pronounced impact on real estate stocks
21	S Ramesh 	2007-07-02 15:39:00	Retail response good towards IPOs: Kotak
22	SP Tulsian  	2007-06-13 12:37:00	Book profits on Time Technoplast
23	SP Tulsian  	2007-06-11 11:00:00	Do not expect much excitement on DLF listing: SP Tulsian
24	Dipan Mehta 	2007-06-08 15:02:00	Investors likely to get decent pie in DLF IPO: Dipan Mehta
25	SP Tulsian  	2008-05-07 12:38:00	Aishwarya Telecom fair value at Rs 50: Tulsian
26	SP Tulsian  	2008-04-07 12:05:00	Sita Shree Food fair value at Rs 16-20: Tulsian
27	SP Tulsian  	2008-02-05 10:54:00	Tulsi Extrusions, IRB Infra do not look attractive: Tulsian
28	SP Tulsian  	2008-02-04 13:48:00	Rel Power should list at around Rs 600: Tulsian
29	SP Tulsian  	2008-02-04 13:47:00	Wockhardt Hosp, Emaar IPOs still overvalued: Tulsian
30	Vibhav Kapoor  	2008-01-03 10:02:00	Invest in BGR Energy for long term: Kapoor
31	Rashesh Shah 	2007-12-12 16:10:00	MF biz to kick off in Q1CY08: Edelweiss Cap
32	SP Tulsian  	2007-11-27 15:17:00	F&O; exclusion of Mundra leaves bad taste: Tulsian
33	Rashesh Shah 	2007-10-31 16:08:00	Raising money for working cap, invst in biz: Edelweiss Cap
34	SP Tulsian  	2007-10-15 12:25:00	Consolidated Construction looks overpriced: Tulsian
35	SP Tulsian  	2007-08-28 15:40:00	Stay away from Magnum Ventures: Tulsian
36	SP Tulsian  	2007-08-28 11:47:00	KPR Mill issue stretched: Tulsian
37	Motilal Oswal	2010-02-04 15:00:00	NTPC FPO floor price offers 11% upside: Motilal Oswal
38	S Ramesh 	2010-01-27 14:24:00	REC's track record to augur well for FPO: Kotak Investment
39	Abhijeet Kundu  	2010-01-19 22:19:00	Jubilant FoodWorks IPO: What do experts say?
