comment_id	expert_name	date	comment
1	Ajay Srivastava  	2005-04-11 13:35:00	Wise to sit in cash now: Srivastava
2	Vibhav Kapoor  	2005-04-04 12:48:00	Caution needed on markets: Kapoor
3	Shankar Sharma 	2005-04-01 14:54:00	FII flows to be lower than last year: Sharma
4	Sanjay Dutt  	2005-03-29 16:32:00	50-100 points downside expected: Dutt
5	Rajat Bose 	1970-09-26 09:29:00	Don't short Nifty soon; eye stop losses cautiously: Expert
6	Vibhav Kapoor  	2005-05-25 11:09:00	Market fairly valued right now: Kapoor
7	Ramesh Damani 	2005-05-17 15:40:00	Margining system must be rule-based: Damani
8	Adrian Mowat  	2005-05-09 13:09:00	JPMorgan sees Sensex hit 7250 by year-end
9	Amisha Vora  	2005-05-06 12:12:00	Markets driven by short covering: Vora
10	Vibhav Kapoor  	2005-05-05 12:48:00	Sensex to move in 6000-6400 range: Kapoor
11	Dilip Bhat  	2005-05-05 11:37:00	Market heading for 100-150 point rally: Bhat
12	Vibhav Kapoor  	2005-04-30 12:09:00	Tech sector to remain stable: Kapoor
13	Vibhav Kapoor  	2005-04-30 11:49:00	Buy selective sectors but be cautious:Kapoor
14	Amisha Vora  	2005-04-28 11:09:00	Markets volatile across the board: Vora
15	Vibhav Kapoor  	2005-04-19 12:04:00	Technical bounce is overdue: Kapoor
16	Vibhav Kapoor  	2005-04-15 16:50:00	Weakness in market to continue: Kapoor
17	Vibhav Kapoor  	2005-04-13 11:59:00	Negative news may cause correction: Kapoor
18	Dilip Bhat  	2005-06-27 15:41:00	Bullish on M&M;, Maruti, L&T;: Bhat
19	Dilip Bhat  	2005-06-22 15:10:00	Stay invested in frontline tech stocks: Bhat
20	Dilip Bhat  	2005-06-22 11:37:00	Markets to witness profit taking now: Bhat
21	Amisha Vora 	2005-06-21 15:33:00	Reliance stocks stagnate for a while: Vora
22	Garry Evans 	2005-06-21 13:13:00	Indian valuations look stretched: HSBC
23	Sanjay Dutt  	2005-06-21 12:01:00	Time to shuffle, reallocate midcaps: Dutt
24	Sanjay Dutt  	2005-06-21 10:44:00	Sensex may go up 200-300 pts soon: Dutt
25	Sanjay Dutt  	2005-06-20 14:48:00	RIL group stocks are good buys: Sanjay Dutt
26	Dilip Bhat  	2005-06-18 12:21:00	RIL demerger positive for markets: Bhat
27	Dilip Bhat  	2005-06-15 11:56:00	Provogue appears a bit too stretched: Bhat
28	Dilip Bhat  	2005-06-15 10:37:00	Market may rise, then seek correction: Bhat
29	Ramesh damani 	2005-06-01 16:25:00	Sensex a touch away from 7000: Damani
30	Sanjay Dutt  	2005-08-08 17:43:00	Sensex may dip to 7200: Dutt
31	Dilip Bhat  	2005-08-05 10:12:00	Excercise caution in the market: Bhat
32	Amisha Vora  	2005-08-02 17:22:00	Slight slowdown may lead to correction: Vora
33	Dilip Bhat  	2005-07-29 09:47:00	Market expected to be choppy: Bhat
34	Vibhav Kapoor  	2005-07-25 15:36:00	Positive sentiment to continue: Kapoor
35	Vibhav Kapoor  	2005-07-20 14:23:00	Infy will sustain without Pradhan: Analysts
36	Sanjay Dutt  	2005-07-14 16:16:00	Hold Dabur, exit VSNL, SRF: Experts
37	Sanjay Dutt  	2005-07-14 11:27:00	Market set for a good correction: Dutt
38	Ramesh Damani 	2005-07-12 15:53:00	Sensex floor at 6200-6400 levels: Damani
39	Ramesh Damani 	2005-07-11 19:19:00	Titan could be bought on declines: experts
40	Dilip Bhat  	2005-07-08 18:01:00	Cautiousness prevails in the market: Bhat
41	Dilip Bhat 	2005-06-30 10:39:00	Sensex to remain firm on FII inflows: Bhat
42	Rahul Mohindar  	2005-10-13 14:54:00	Market rally to continue: Experts
43	Vibhav Kapoor  	2005-10-07 19:46:00	Bit of a rally was overdue: Vibhav Kapoor
44	Ramesh Damani 	2005-10-07 16:29:00	IT Results: What does the market expect?
