comment_id	expert_name	date	comment
1	Rahul Mohindar  	2006-12-22 19:15:00	Hold Sesa Goa
2	Anil Manghnani  	2006-12-21 16:43:00	Buy Mphasis BFL on dips
3	Anil Manghnani  	2006-12-21 16:33:00	Moser Baer has target of Rs 319-320
4	Anil Manghnani 	2006-12-18 09:44:00	Trade long with stop losses: Manghnani
5	Anil Manghnani 	2006-12-08 10:00:00	Good trading opportunites among F&O; stocks: Manghnani
6	Anil Manghnani 	2006-12-01 09:44:00	Nifty to break out on way up: Manghnani
7	Anil Manghnani 	2006-11-24 09:55:00	No sell signal on charts: Anil Manghnani
8	Anil Manghnani 	2006-08-14 09:38:00	Momentum to push markets further: Manghnani
9	Anil Manghnani  	2007-03-08 11:29:00	Sell SRF on every rise
10	Anil Manghnani  	2007-03-08 11:26:00	Sell Guj Ambuja Cements at Rs 120
11	Anil Manghnani  	2007-03-08 11:25:00	Exit IPCL at Rs 262
12	Anil Manghnani 	2007-02-26 09:40:00	Monthly charts may help mkts bounce back: Manghnani
13	Anil Manghnani  	2007-02-09 09:45:00	14,720 and 15,100 significant Sensex targets: Manghnani
14	Anil Manghnani  	2007-02-02 10:52:00	Stay invested in Escorts
15	Anil Manghnani 	2007-02-02 09:44:00	Dont trade, take position play or invest: Manghnani
16	Anil Manghnani  	2007-01-12 09:53:00	Wait to buy fresh, eye 3800 on Nifty: Anil Manghnani
17	Anil Manghnani  	2007-01-05 11:14:00	Stay invested in ITC
18	Anil Manghnani  	2007-01-05 09:31:00	Buy IT mid-caps on any decline: Anil Manghnani
19	Anil Manghnani 	2006-12-29 10:46:00	Trade long, maintain stop losses: Manghnani
20	Rahul Mohindar  	2006-12-22 19:28:00	Hindustan Construction has stoploss at Rs 130
21	Anil Manghnani  	2007-03-29 14:52:00	IFCI has resistance at Rs 33
22	Anil Manghnani  	2007-03-29 14:49:00	Bank of India has support at Rs 162
23	Anil Manghnani  	2007-03-26 15:00:00	Bajaj Hindustan may touch Rs 188
24	Anil Manghnani  	2007-03-26 14:58:00	Below Rs 370 Unitech can test Rs 320
25	Anil Manghnani  	2007-03-26 14:55:00	Tata Motors has support at Rs 742-750
26	Anil Manghnani  	2007-03-23 11:05:00	Sell Reliance Comm on rise: Manghnani
27	Anil Manghnani  	2007-03-23 10:52:00	IFCI has target of Rs 36
28	Anil Manghnani  	2007-03-23 10:42:00	Bank Of India has resistance at Rs 183
29	Anil Manghnani 	2007-03-23 09:46:00	Markets at fag end of technical bounce: Manghnani
30	Anil Manghnani  	2007-03-16 16:28:00	Buy sugar stock at current level
31	Anil Manghnani  	2007-03-14 11:00:00	Buy SAIL close to Rs 85
32	Anil Manghnani  	2007-03-13 14:59:00	Hold Rolta: Manghnani
33	Anil Manghnani 	2007-04-10 14:08:00	Book partial profit in SRF
34	Anil Manghnani  	2007-04-09 17:25:00	Hero Honda Motors has support at Rs 617
35	Anil Manghnani  	2007-04-09 17:14:00	Sell IT stocks on the rise
36	Anil Manghnani  	2007-04-09 16:56:00	Hold Gujarat NRE Coke
37	Anil Manghnani  	2007-04-09 16:47:00	Exit Tata Steel, says Manghnani
38	Anil Manghnani  	2007-04-05 11:44:00	Aptech has resistance at Rs 243
39	Anil Manghnani  	2007-04-03 18:52:00	Keep stop loss of Rs 67 in Dhampur Sugar
40	Anil Manghnani  	2007-04-03 18:40:00	Keep stop loss of Rs 1900 in Infosys
41	Anil Manghnani  	2007-04-03 14:12:00	Shree Renuka Sugars has support at Rs 441
42	Anil Manghnani  	2007-04-03 14:05:00	Indiabulls has immediate support at Rs 378
43	Anil Manghnani  	2007-04-02 11:04:00	IVRCL Infra has support at Rs 248-249
44	Anil Manghnani  	2007-04-02 10:56:00	Shree Renuka Sugars can touch Rs 522
45	Anil Manghnani 	2007-04-20 11:10:00	Book profits in Balaji Telefilms on upside
46	Anil Manghnani 	2007-04-20 11:08:00	Biocon has resistance at Rs 542
47	Anil Manghnani 	2007-04-20 10:47:00	Tata Teleservices can touch Rs 29
48	Anil Manghnani 	2007-04-20 10:45:00	Lot of upside left in Aptech
49	Anil Manghnani 	2007-04-19 14:36:00	Above Rs 312, Aptech has target of Rs 370
50	Anil Manghnani 	2007-04-17 14:45:00	Book profits in Punj Llyod
51	Anil Manghnani 	2007-04-17 14:42:00	Tata Teleservices has resistance at Rs 26-26.10
52	Anil Manghnani  	2007-04-13 16:11:00	Book profint in Infosys at Rs 2115-2240
53	Anil Manghnani 	2007-04-11 15:09:00	Book partial profit in Polaris
54	Anil Manghnani 	2007-04-11 15:04:00	Exit Deccan Aviation on every rise
55	Anil Manghnani 	2007-04-10 14:10:00	Balaji Telefilms has target of Rs 146-157
56	Anil Manghnani 	2007-04-10 14:09:00	Aptech can touch Rs 296
57	Anil Manghnani  	2007-05-15 19:05:00	Hold Suzlon Energy with target of Rs 1220
58	Anil Manghnani  	2007-05-08 16:38:00	Reliance Capital has target of Rs 813
59	Anil Manghnani  	2007-05-08 16:31:00	Buy IFCI on every fall
60	Anil Manghnani  	2007-05-08 16:17:00	Bharti Airtel still very strong for long-term
61	Anil Manghnani  	2007-05-08 16:10:00	Play technology stock with currency
62	Anil Manghnani 	2007-05-08 15:27:00	Hold Reliance Capital: Manghnani
63	Anil Manghnani 	2007-05-08 15:24:00	Unitech has resistance at Rs 458
64	Anil Manghnani 	2007-04-27 12:02:00	Buy midcap IT stocks on every decline
65	Anil Manghnani 	2007-04-27 12:01:00	Neyveli Lignite can move upto Rs 79-80
66	Anil Manghnani 	2007-04-27 11:33:00	Book profits in bank stocks on rise
67	Anil Manghnani 	2007-04-27 10:42:00	Keep booking profits: Anil Manghnani
68	Anil Manghnani 	2007-04-20 12:00:00	Book profits in Deccan Aviation
69	Anil Manghnani  	2007-05-21 16:36:00	Above Rs 32-33, RNRL can touch Rs 50
70	Anil Manghnani  	2007-05-21 16:19:00	Reliance Industries has target of Rs 1809
71	Anil Manghnani 	2007-05-21 15:05:00	Buy Balaji Telefilms on any dips: Manghnani
72	Anil Manghnani 	2007-05-21 15:02:00	Above Rs 621, Tata Steel can test Rs 679
73	Anil Manghnani 	2007-05-18 11:50:00	Arvind Mills can test Rs 54
74	Anil Manghnani 	2007-05-18 11:13:00	Buy IFCI, IDBI on decline
75	Anil Manghnani 	2007-05-18 11:02:00	Above Rs 227, Bombay Rayon can go upto Rs 260
76	Anil Manghnani 	2007-05-18 10:55:00	Yes Bank can rally upto Rs 192-199
77	Anil Manghnani  	2007-05-18 10:31:00	Bullish on IT, auto: Anil Manghnani
78	Anil Manghnani 	2007-05-17 13:05:00	Book profits in Unitech above Rs 600
79	Anil Manghnani 	2007-05-17 12:52:00	Book some profits in UTV Software: Manghnani
80	Anil Manghnani  	2007-05-15 19:08:00	Book profit in Petronet LNG at around Rs 65
81	Anil Manghnani 	2007-05-23 11:00:00	Accumulate Ceat at current levels, says Manghnani
82	Anil Manghnani 	2007-05-23 10:52:00	Kotak Mahindra Bank has target of Rs 667
83	Anil Manghnani 	2007-05-23 10:44:00	Above Rs 275, Bombay Rayon can touch Rs 307
84	Anil Manghnani 	2007-05-23 10:36:00	Enter in United Spirits on declines
85	Anil Manghnani 	2007-05-23 10:29:00	Book profits in Balaji Telefilms: Manghnani
86	Anil Manghnani  	2007-05-23 10:07:00	Sensex may touch 15,100: Anil Manghnani
87	Anil Manghnani 	2007-05-22 16:28:00	TV Today Network has target of Rs 161
88	Anil Manghnani  	2007-05-21 17:38:00	Buy Balaji Telefilms on every fall
89	Anil Manghnani  	2007-05-21 17:30:00	Chennai Petro has target of Rs 292
90	Anil Manghnani  	2007-05-21 17:23:00	Above Rs 306-308, Zee Entertainment may hit Rs 340
91	Anil Manghnani  	2007-05-21 16:54:00	Above Rs 565-570, Reliance Energy can go upto Rs 650-700
92	Anil Manghnani  	2007-05-21 16:43:00	Reliance Petroleum has target of Rs 101-102
93	Anil Manghnani 	2007-05-29 12:43:00	Book 50% profit in Unitech: Anil Manghnani
94	Anil Manghnani 	2007-05-29 12:40:00	Avaya GlobalConnect has target of Rs 406: Manghnani
95	Anil Manghnani 	2007-05-29 12:36:00	Book profits in Nirma, says Manghnani
96	Anil Manghnani 	2007-05-28 11:40:00	Enter in India Infoline on falls
97	Anil Manghnani 	2007-05-28 11:00:00	Use rally to exit real estate stocks: Manghnani
98	Anil Manghnani 	2007-05-28 10:48:00	Carborundum Universal can test Rs 196: Manghnani
99	Anil Manghnani 	2007-05-28 10:40:00	Above Rs 577, Patni has target of Rs 630: Manghnani
100	Anil Manghnani 	2007-05-28 10:30:00	PTC has target of Rs 74: Manghnani
101	Anil Manghnani  	2007-05-28 10:05:00	Nifty to trade between 4,350-4,390 levels: Anil Manghnani
102	Anil Manghnani 	2007-05-23 12:01:00	Buy Reliance Capital on every decline
103	Anil Manghnani 	2007-05-23 11:52:00	Sell SRF on every rise: Anil Manghnani
104	Anil Manghnani 	2007-05-23 11:45:00	Idea Cellular a steady mover: Manghnani
105	Anil Manghnani  	2007-06-04 17:20:00	Above Rs 660, Mahindra Gesco has resisitance at Rs 720
106	Anil Manghnani  	2007-06-04 17:04:00	Accumulate Idea Cellular on any fall
107	Anil Manghnani  	2007-06-04 16:36:00	Tata Motors has support at Rs 690-700
108	Anil Manghnani  	2007-06-04 16:35:00	Book profit in HDFC Bank
109	Anil Manghnani 	2007-05-31 16:47:00	Above Rs 119, Shasun Chemicals can test Rs 136
110	Anil Manghnani 	2007-05-31 13:04:00	SREI Infrastructure can retest Rs 84-85: Manghnani
111	Anil Manghnani 	2007-05-31 12:57:00	Above Rs 119, Shasun Chemicals can test Rs 136
112	Anil Manghnani  	2007-05-30 17:37:00	Hindalco may be a good long-term investment
113	Anil Manghnani  	2007-05-30 17:12:00	Invest in Dena Bank on falls
114	Anil Manghnani  	2007-05-30 17:00:00	Enter in Reliance Petroleum at Rs 93.5
115	Anil Manghnani  	2007-05-30 16:54:00	Infosys has support at Rs 1900
116	Anil Manghnani 	2007-05-29 12:48:00	Buy Centurion Bank of Punjab on declines
117	Anil Manghnani 	2007-06-08 13:08:00	Unitech has support at Rs 507: Manghnani
118	Anil Manghnani 	2007-06-06 11:50:00	Helios and Matheson can test Rs 205-210: Manghnani
