expert_id,exper_name,rating,count
23,abhishek ranganathan,100,1,
27,abneesh roy,100,1,
67,amit mahawar,100,1,
311,gokul laroia,100,1,
399,jinesh gandhi,100,1,
545,mihir zaveri,100,1,
672,prasad koparkar,100,1,
781,ruchit jain,100,1,
919,sunil godhwani,100,1,
476,magnum,95.2134527424,238,
365,indira securities,94.6384634126,33,
500,manish prasad,90,2,
587,networth capital,88.3284457478,3,
428,kalyan reddy,87.4236635391,3,
28,achiievers,86.4989231106,5,
211,daryl guppy,85.6888778551,68,
883,shri dharmesh joshi,85.3793995434,1320,
732,ramit bhasin,85.000433188,4,
301,geojit bnp paribas,84.6403261374,21,
203,crisil,84,10,
339,hem securities,83.9777357522,6,
916,sunidhi securities,83.3763834368,231,
932,swastika investmart,83.2228158754,12,
762,rk global,82.9884067272,25,
747,reliance securities,82.6465122207,26,
930,sushil finance,82.3275828552,373,
541,microsec,82.3107721131,78,
161,bharat rawla,82.1900670736,1,
714,rajesh cheruvu,82.1750111425,1,
338,hedge equities,81.9910783191,23,
1011,vk sharma,81.9898840194,922,
447,krchoksey,81.7814555464,1170,
273,fairwealth securities,81.7172240657,53,
44,ajcon global,81.3226138887,15,
210,darryl guppy,81.3194706994,1,
140,asit c. mehta,81.2837982849,140,
191,choice equity broking,81.244815171,4,
262,edelweiss,81.1624725642,187,
440,khambatta securities,81.003195927,12,
278,finquest securities,80.8125303942,209,
628,nvs wealth managers,80.5681818182,1,
1006,vivek kumar,80.5523736795,3,
627,nvs brokerage,80.4777092803,3,
174,bp equities,80.372055945,84,
260,east india securities ltd,80.3086155165,3,
742,ravi muthukrishnan,80.2792577137,2,
894,smc global,80.2333580339,96,
561,motilal oswal,80.2270335357,501,
987,vikram mansharamani,80.0728364516,1,
367,ishaq siddiqi,80.0470465238,1,
917,sunil agarwal,80.0058111973,1,
1009,vivek patil,80.0048285645,3,
3,a rajagopal,80,1,
8,aashish agarwal,80,2,
20,abhishek goenka,80,1,
49,alaistair chan,80,1,
57,amber dubey,80,1,
84,anezka christovova,80,1,
86,angel commodities,80,1,
94,anirudha dutta,80,1,
98,ankur kulshrestha,80,2,
101,anshu jain,80,2,
114,arjun divecha,80,1,
117,arshad zakaria,80,1,
120,arunoday mukherjee,80,1,
122,arvind narayanan,80,1,
143,atul mehra,80,4,
145,austin forey,80,1,
178,brijen puri,80,3,
182,callum henderson,80,1,
189,chirag negandhi,80,1,
197,christoph rubeli,80,1,
207,dani investment services,80,1,
218,deborah fuhr,80,1,
221,deep mukherjee,80,1,
238,dhawal dalal,80,1,
242,dhiren shah,80,1,
264,elan dutta,80,1,
272,ewen cameron watt,80,1,
307,giles keating,80,1,
317,govindarajan chellappa,80,1,
320,greg gibbs,80,1,
370,j kishore kumar,80,1,
394,jignesh kamani,80,1,
407,john davies,80,1,
408,john praveen,80,2,
411,jonathan barratt,80,1,
418,jude sannith,80,4,
420,julie dickson,80,1,
444,kishore narne,80,3,
450,krishna kumar,80,1,
453,kumar rachapudi,80,2,
454,kunal bajaj,80,1,
467,lawrence leibowitz,80,1,
473,lyn graham-taylor,80,2,
490,manish agarwal,80,1,
491,manish agarwalla,80,1,
497,manish jain,80,3,
524,martin lueck,80,3,
557,moorad choudhry,80,2,
573,nandkumar surti,80,1,
590,nicholas smithie,80,2,
601,nilesh parikh,80,4,
610,nirav vasa,80,1,
617,nitin bhasin,80,2,
644,paul mackel,80,1,
648,pawan agarwal,80,1,
678,praveen kumar,80,1,
686,priyanka kishore,80,1,
693,r. sukumar,80,1,
719,rajnikant patel,80,1,
727,ralph acampora,80,2,
740,ravi kapoor,80,1,
750,richard harris,80,1,
764,robert aspin,80,1,
768,robert pavlik,80,3,
780,rr venkataraman,80,1,
787,s nagnath,80,1,
819,sandeep raina of edelweiss rcm research,80,1,
834,sanjay puglia,80,1,
837,sanjay shah,80,3,
838,sanjay sharma,80,2,
847,sanjiv sanyal,80,1,
860,savita subramanian,80,2,
873,shashank singh,80,1,
895,sohini dutt,80,2,
921,sunil shankar matkar,80,1,
959,utpal sheth,80,1,
986,vikram dhawan,80,1,
1005,vivek kudva,80,1,
1015,willie williams,80,2,
186,cd equisearch,79.9306097486,29,
688,r k global,79.7108563836,109,
468,lkp,79.4095382967,52,
579,navin shetty,78.4940436693,13,
78,anandrathi,78.2906952672,103,
501,manish shah,77.4467787115,7,
337,hdfc securities,77.4193548387,31,
852,santosh nair,77.1428571429,7,
164,bhavin desai,77.0988887277,88,
647,pavni mittal,76.6693671798,6,
377,jamal mecklai,76.1538461538,26,
1010,vivek rajpal,76,15,
449,krish subramanyam,75.6120260699,138,
505,manish wadhwan,75.5565600633,9,
657,porinju veliyath,75.5555555556,9,
533,mehta equities,75.4347394166,29,
173,bonanza,75.4246270818,3,
596,nigel d souza,75.2652213328,240,
159,bharat gianani,75.152284264,2,
281,fortune financial services,75.0363238596,7,
261,eastern financiers,75.0032422962,18,
36,agam gupta,75,4,
61,amit chandra,75,4,
240,dhiraj sachdev,75,4,
303,george soros,75,4,
534,mehul thanawala,75,8,
896,sonal varma,75,4,
448,krish subramanium,74.6826984316,170,
496,manish hemrajani,74.2857142857,7,
863,sebastien galy,74.2857142857,7,
443,kirti doshi,74.1603514552,20,
820,sandeep shah,74.1536928757,41,
304,gepl capital,74.1415243004,148,
769,robert prior-wandesforde,74,20,
745,reema tendulkar,73.9548543307,147,
292,gaurav mehta,73.7253924292,18,
33,aditya narain,73.5919368007,53,
19,abhishek anand,73.5660591082,3,
824,sandeepa arora,73.3867663927,9,
349,hitendra dave,73.3454406331,6,
108,anup maheshwari,73.3333333333,9,
151,b krishnakumar,73.3333333333,15,
217,dayanand mittal,73.3333333333,3,
508,manoj garg,73.3333333333,3,
734,ramraj pai,73.3333333333,3,
778,rohit sah,73.3333333333,3,
795,sachin gupta,73.3333333333,3,
