comment_id	expert_id	date	comment	company	sentiment
4000	806	2009-10-20	F&C; Investments' sector/stock picks for the next 18 months	SEINV	hold
4001	955	2009-10-20	Don't see major sell-off this earning season	TTL	sell
4002	955	2009-10-20	NTPC's FPO news positive for government	NTPC	buy
4003	802	2009-10-20	Govt to divest 5% stake in NTPC; likely to raise Rs 9000cr	NTPC	hold
4004	995	2009-10-17	Diwali bonanza	DALMIASUG	hold
4005	955	2009-10-16	Nifty rides into Diwali at 17-month high	NIFTY	buy
4006	745	2009-10-16	IPO woes	INDLMETER	hold
4007	789	2009-10-16	Expect FCCBs from larger cos	CMAHENDRA	hold
4008	295	2009-10-16	How EIH plans to prevent takeover bid from ITC	ITC	hold
4009	955	2009-10-21	Nifty slips in late trade after sideways session	NIFTY	sell
4010	582	2009-10-21	Profits will be hit if gas is sold at $2.34/mmbtu	2	hold
4011	897	2009-10-21	Hero Honda Q2 revenues seen up 28% at Rs 4,062 cr	4	hold
4012	43	2009-10-21	Stay away from telecom space	TNTELE	sell
4013	955	2009-10-21	Mkts to trade flat on weak global cues, lack of triggers	SGL	hold
4014	314	2009-10-21	SBI raises $750m through overseas bond issue	BANG	hold
4015	452	2009-10-21	Mah Satyam ups Upaid out-of-court offer to $40m	SATYAMCOMP	hold
4016	603	2009-10-21	FIIs net buy Rs 276 cr in equities on Oct 20 (prov)	NET4	buy
4017	955	2009-10-20	Largecap metals and IT stocks shine in today's trade	LLOYDMETAL	hold
4018	452	2009-10-20	Tech Mahindra Q2 revenues up 2.6% to Rs 1,141.8 cr	TECHM	hold
4019	54	2009-10-20	Ceat can add 20-25%	CEATLTD	hold
4020	802	2009-10-20	Warrant stayed, exiled Nimesh Kampani returns to India	3MINDIA	hold
4021	955	2009-10-23	Global cues to help Nifty to cross 5,000	NIFTY	hold
4022	295	2009-10-23	ITC Q2 revenues seen up 8.5% at Rs 4190 cr	ITC	hold
4023	897	2009-10-23	TVS Motors Q2 revenues seen up 8% at Rs 1,098 cr	1	hold
4024	263	2009-10-23	Zee Entertainment Q2 revenues seen down 7.7% to Rs 527 cr	ZEEMEDIA	sell
4025	955	2009-10-22	Weak global cues weighing down on mkts	SGL	sell
4026	671	2009-10-22	Should you sell Sesa Goa post dismal Q2 results?	GOACARBON	sell
4027	452	2009-10-22	NYSE warns Mahindra Satyam over report delays	MAHINDCIE	hold
4028	814	2009-10-22	See mkt at 19K by Dec-end, bullish on ITC, HUL	ITC	buy
4029	814	2009-10-22	Sandeep Bhatia positive on JP Associates	JPASSOCIAT	buy
4030	955	2009-10-22	Nifty to trade in 5,000-5,050 range	NIFTY	hold
4031	944	2009-10-22	Expect RBI to hold rates in policy meet	VHL	hold
4032	295	2009-10-22	JP Associates Q2 net sales up 54% at Rs 1,824.3 cr	1	hold
4033	897	2009-10-27	Tata Motors Q2 net sales up 17.27% at Rs 7,924 cr	TATAMOTORS	hold
4034	955	2009-10-26	Weak start for mkts, Sensex ends 70 points down	UTISENSETF	sell
4035	582	2009-10-26	EGoM to consider gas allocation from KG-D6 today	TVTODAY	hold
4036	955	2009-10-26	Mkts see volatile trade; individual stocks react to results	VALUEIND	hold
4037	652	2009-10-26	Buy Punj Lloyd on further correction	PUNJLLOYD	buy
4038	831	2009-10-26	Mkts at the end of trading range	INDTERRAIN	hold
4039	955	2009-10-26	Extended trading may strain system, fatigue people	HBLPOWER	hold
4040	955	2009-10-26	Legacy issues a concern for Punj Lloyd	PUNJLLOYD	hold
4041	897	2009-10-26	Tata Motors Q2 revenues seen up 10% at Rs 7,760 cr	TATAMOTORS	hold
4042	955	2009-10-23	Weak RIL weighs on Nifty	NIFTY	sell
4043	295	2009-10-23	NTPC Q2 revenues seen up 17.3% at Rs 11332 cr	NTPC	hold
4044	953	2009-10-23	Auto stocks may go down	JMTAUTOLTD	sell
4045	696	2009-10-28	Sell RIL for intraday	ROSSELLIND	sell
4046	955	2009-10-28	Global cues continue to remain negative	SGL	sell
4047	944	2009-10-28	Markets could be higher by year-end	PENPEBS	buy
4048	603	2009-10-28	FIIs net sell Rs 548 cr in equities on Oct 27 (prov)	NET4	sell
4049	955	2009-10-27	Mkts witness biggest single-day fall since Aug 17	NITESHEST	sell
4050	582	2009-10-27	Gas block to go bust if gas is supplied at $2.3/mmbtu	3	hold
4051	955	2009-10-27	Downward momentum can take Nifty below 4800	TAKE	sell
4052	886	2009-10-27	Enter in HPCL at Rs 342-340	AUSOMENT	buy
4053	886	2009-10-27	Punj Lloyd may test Rs 200	PUNJLLOYD	buy
4054	886	2009-10-27	Buy PNB at Rs 840-842	PNB	buy
4055	955	2009-10-27	Negative global cues may peg back mkt	SGL	sell
4056	897	2009-10-27	Jet Airways Q2 revenues seen down 21% at 2,429 cr	JETAIRWAYS	sell
4057	696	2009-10-29	Sell SBI for intraday	ROSSELLIND	sell
4058	40	2009-10-29	Sell Cairn India for target of Rs 269	CAIRN	sell
4059	753	2009-10-29	Dec-2010 target for Sensex at 19,400	UTISENSETF	hold
4060	955	2009-10-28	Mkts end marginally up as expiry jitters grip traders	STOREONE	hold
4061	582	2009-10-28	RIL Counsel argues against Bombay HC judgement	BRFL	hold
4062	973	2009-10-28	Start all-out buying at 4500 levels	OUDHSUG	buy
4063	973	2009-10-28	Sugar stocks may add another 5-10%	5	hold
4064	973	2009-10-28	Buy telecom stocks for trading	TNTELE	buy
4065	973	2009-10-28	Accumulate Punj Lloyd on dips	PUNJLLOYD	buy
4066	973	2009-10-28	Look at Tata Steel on 5-10% decline	TATASTEEL	sell
4067	973	2009-10-28	Vibhav Kapoor positive on banking stocks	SETFNIFBK	buy
4068	40	2009-10-28	4800 on Nifty an important level for trend	NIFTY	buy
4069	696	2009-10-30	Buy Rolta for intraday	ROLTA	buy
4070	40	2009-10-30	Buy Mahindra Satyam	MAHINDCIE	buy
4071	898	2009-10-29	Experts foresee Rs 110 as FY10 EPS for RIL	1	hold
4072	955	2009-10-29	Mkts close Oct series in the red, down 4th straight session	ZENITHCOMP	sell
4073	582	2009-10-29	Isn't selling gas cheaper in national interest? SC asks RIL	TTL	sell
4074	898	2009-10-29	RIL's full year EPS target to be scaled down	473S&P500	sell
4075	704	2009-10-29	Unitech may slip to Rs 73	UNITECH	sell
4076	452	2009-10-29	Why is Big IT not hiring despite strong Q2 nos?	STERTOOLS	buy
4077	263	2009-10-29	Zee Ent, News restructuring	RMMIL	hold
4078	957	2009-10-29	Global bull run to halt due to policy tightening	SGL	sell
